,Salida 1d,Salida 5d,Salida 30d,Salida 90d
Entrada 5d,0.012284026899186125,0.005590936232742421,0.0023244773131625915,0.001261896728534295
Entrada 10d,0.012273100213923194,0.005591108049222051,0.0023215906305776688,0.0012756960436604524
Entrada 30d,0.012277659080631474,0.005594171792588781,0.0023258950902783565,0.001274405992004521
Entrada 90d,0.012286588192871407,0.005613438399435414,0.0023303174605501594,0.001270766906746049
