in_window,out_window,model,params,mae_train,mae_val,mae_test,epochs_run
5,1,Buy & Hold,0,0.013059813045544716,0.010308442447952251,0.013628289068144521,0
5,1,MLP-Shallow,17815,0.011547769535274678,0.009232779603279895,0.012380395372085557,22
5,1,MLP-Medium,65559,0.011604240750638824,0.009216997631105414,0.012314039559972251,19
5,1,MLP-Deep,233367,0.011515348812771794,0.009197987632538946,0.01234672640704733,24
5,1,MLP-Dropout,131351,0.011685874636661483,0.009222026039877537,0.012284026899186125,15
5,1,MLP-BatchNorm,133911,0.030247331041875537,0.02929711344766912,0.030715026796741776,15
5,1,MLP-Wide,655383,0.011636246525496297,0.009229119096246236,0.0123147118882762,15
5,1,MLP-Residual,298775,0.011718972761439747,0.009254317210357185,0.012363170639018707,15
5,5,Buy & Hold,0,0.007896586793071316,0.006236038336030147,0.008040728737800864,0
5,5,MLP-Shallow,17815,0.005256783449561547,0.004306178649309809,0.005675871208953517,34
5,5,MLP-Medium,65559,0.005388414506932684,0.004304098798954131,0.005605551077286823,18
5,5,MLP-Deep,233367,0.005392971797367874,0.004297757378740446,0.005590936232742421,17
5,5,MLP-Dropout,131351,0.005377626393967397,0.004293146889074076,0.005593351337355057,33
5,5,MLP-BatchNorm,133911,0.026350910129264007,0.025611260486873608,0.026589819449648045,15
5,5,MLP-Wide,655383,0.005377743613254632,0.004306404777051444,0.005603999478941743,15
5,5,MLP-Residual,298775,0.005437283649327935,0.004315781570170051,0.005675967731017504,15
5,30,Buy & Hold,0,0.0059069329911134545,0.0047266206348069145,0.006172749958355027,0
5,30,MLP-Shallow,17815,0.0021516930068754985,0.0017864823650148298,0.0024140777124875457,31
5,30,MLP-Medium,65559,0.002162715760553609,0.0017835019059328683,0.002329505568779143,30
5,30,MLP-Deep,233367,0.002172237738015724,0.0017856926566831442,0.0023244773131625915,15
5,30,MLP-Dropout,131351,0.002178447386007182,0.0017880091130504855,0.0023273952389257398,15
5,30,MLP-BatchNorm,133911,0.02048003884567761,0.020457718435504584,0.020660813187380573,15
5,30,MLP-Wide,655383,0.002173799558216376,0.0017878285912372182,0.0023395363331999842,15
5,30,MLP-Residual,298775,0.002144501425810659,0.001783265239674466,0.002378042769154823,35
5,90,Buy & Hold,0,0.0055783720897996155,0.00432247964396205,0.005780071966181929,0
5,90,MLP-Shallow,17815,0.001232464029545561,0.0009902562453415322,0.0013449947664817084,41
5,90,MLP-Medium,65559,0.0012506745633983746,0.0009948138309507349,0.0012795301999399729,15
5,90,MLP-Deep,233367,0.0012452702543786452,0.0009870719265578209,0.0012721638109980521,17
5,90,MLP-Dropout,131351,0.0012489870676685635,0.001007855721891295,0.001261896728534295,15
5,90,MLP-BatchNorm,133911,0.025245475922032246,0.02482068729481985,0.02543244106977822,15
5,90,MLP-Wide,655383,0.001247543540687795,0.0009978718089815963,0.001284539499294157,15
5,90,MLP-Residual,298775,0.0012598352605519268,0.0009867701215625488,0.001336192325758466,17
10,1,Buy & Hold,0,0.012433175509902276,0.009845304068214997,0.012966022906103113,0
10,1,MLP-Shallow,32535,0.011922379956568443,0.009418417257983307,0.012587758504943772,15
10,1,MLP-Medium,94999,0.011677573717018209,0.009223614112128523,0.012285889971562906,15
10,1,MLP-Deep,292247,0.011676648545606036,0.009219268998837626,0.01227645738127791,15
10,1,MLP-Dropout,160791,0.011687359747630252,0.00921816954940222,0.012273100213923194,15
10,1,MLP-BatchNorm,163351,0.021782622567161423,0.01976633336976852,0.02224654115337819,15
10,1,MLP-Wide,773143,0.011631266986060337,0.009228856275633412,0.012315508305545442,15
10,1,MLP-Residual,328215,0.011758106826746106,0.009266617673982541,0.012419419600909906,15
10,5,Buy & Hold,0,0.006761675565467196,0.005489949882976666,0.006916165990515473,0
10,5,MLP-Shallow,32535,0.00574295931831926,0.004502898647583844,0.006046802393108684,15
10,5,MLP-Medium,94999,0.005412775773048617,0.004323536841589083,0.0055996926720791665,15
10,5,MLP-Deep,292247,0.005398437478340962,0.004310700879826003,0.005591108049222051,15
10,5,MLP-Dropout,160791,0.005410906231435516,0.004318558487776121,0.005597963573356813,15
10,5,MLP-BatchNorm,163351,0.02190942747964681,0.021555617935374808,0.022110432237035668,15
10,5,MLP-Wide,773143,0.005382606404246573,0.004314434614569322,0.005603863350504439,15
10,5,MLP-Residual,328215,0.005483615536481518,0.00436237406779781,0.005740117675990924,15
10,30,Buy & Hold,0,0.004432419061005746,0.003679910149025243,0.004742878938739621,0
10,30,MLP-Shallow,32535,0.0025394389085470885,0.0018999048535436303,0.0028050782892191303,15
10,30,MLP-Medium,94999,0.002183491910076977,0.0018052656153159717,0.0023373666041650977,15
10,30,MLP-Deep,292247,0.002174234802570105,0.0017906519915345913,0.0023215906305776688,15
10,30,MLP-Dropout,160791,0.002177915077684786,0.0017833984731587614,0.0023271078689418552,15
10,30,MLP-BatchNorm,163351,0.019995546431945725,0.019538078736532488,0.020227672043320887,15
10,30,MLP-Wide,773143,0.0021781711560202657,0.0017961270384485248,0.002342108604727706,15
10,30,MLP-Residual,328215,0.002255311874493533,0.001807940305104283,0.0025096811698184247,15
10,90,Buy & Hold,0,0.004007994319093077,0.0031802598824648355,0.0042314223956400636,0
10,90,MLP-Shallow,32535,0.0018480244403264116,0.001235745218484726,0.0020666494534733277,15
10,90,MLP-Medium,94999,0.001254039237547393,0.0010149649455589381,0.0012847682940350178,15
10,90,MLP-Deep,292247,0.0012478043325635047,0.0009966065218159556,0.0012798081450718813,15
10,90,MLP-Dropout,160791,0.0012495589361267963,0.0010131551618813167,0.0012756960436604524,15
10,90,MLP-BatchNorm,163351,0.016771158068462046,0.0169314175172548,0.016953973199808528,15
10,90,MLP-Wide,773143,0.0012486252346378941,0.000999895801989068,0.0012772748387973383,15
10,90,MLP-Residual,328215,0.001350049817665042,0.0010260062432852339,0.001444355584840648,15
30,1,Buy & Hold,0,0.011953749696728001,0.009463904320874081,0.01253492655688105,0
30,1,MLP-Shallow,91415,0.011888695957790353,0.009407465943819353,0.012782702019500543,15
30,1,MLP-Medium,212759,0.011661969355018174,0.009219961482563788,0.012292354814653215,15
30,1,MLP-Deep,527767,0.011676212680809563,0.009220726093003385,0.012283310129717704,15
30,1,MLP-Dropout,278551,0.011682687529846997,0.009216803163661864,0.012277659080631474,15
30,1,MLP-BatchNorm,281111,0.017874798423286795,0.015836169995317038,0.01851347739246923,15
30,1,MLP-Wide,1244183,0.011615114216387883,0.009222141672341092,0.012297724258459894,15
30,1,MLP-Residual,445975,0.011743290914055307,0.009277338265149128,0.01245611560859684,15
30,5,Buy & Hold,0,0.005881116306212571,0.004787347600459892,0.006173357498285706,0
30,5,MLP-Shallow,91415,0.005816690567602715,0.004532385809274124,0.00630383830419394,15
30,5,MLP-Medium,212759,0.005393614227385392,0.004300012483456191,0.0056064830143291505,15
30,5,MLP-Deep,527767,0.005395424201713237,0.00430019062304802,0.005597180574330098,15
30,5,MLP-Dropout,278551,0.005403496233442632,0.004302054102536292,0.005594171792588781,15
30,5,MLP-BatchNorm,281111,0.010120730854681539,0.009140403766751673,0.010416103016117659,15
30,5,MLP-Wide,1244183,0.005367315587299732,0.004303765587964646,0.005629546818618711,15
30,5,MLP-Residual,445975,0.005479659341340138,0.00433532191885324,0.005787587311337967,15
30,30,Buy & Hold,0,0.003133461069805817,0.002680051725951017,0.0034929916686956925,0
30,30,MLP-Shallow,91415,0.002736997593417205,0.0020735313169707443,0.003165935236370439,15
30,30,MLP-Medium,212759,0.0021822984582984587,0.001815681390055938,0.0023546111869003116,15
30,30,MLP-Deep,527767,0.0021745173361701633,0.001793706308803895,0.0023331746107672,15
30,30,MLP-Dropout,278551,0.0021816203755545935,0.0017985878009444075,0.0023258950902783565,15
30,30,MLP-BatchNorm,281111,0.012699441932676893,0.012417936952149019,0.012994455674354068,15
30,30,MLP-Wide,1244183,0.0021748271514644224,0.001800470969068596,0.0023466962840598326,15
30,30,MLP-Residual,445975,0.0022806265700743866,0.001820946157389729,0.002576344582443752,15
30,90,Buy & Hold,0,0.002515151344893,0.0020453991066057653,0.002719623047641563,0
30,90,MLP-Shallow,91415,0.0019765040510211595,0.001315907448378418,0.0022634728849937587,15
30,90,MLP-Medium,212759,0.0012470212988118015,0.0010086138289551907,0.0012924784942346483,15
30,90,MLP-Deep,527767,0.0012430401762321525,0.0010054275122471472,0.001275740786675915,15
30,90,MLP-Dropout,278551,0.0012456081201831831,0.0010010216396188951,0.001274405992004521,15
30,90,MLP-BatchNorm,281111,0.012265726767123989,0.01220021697733157,0.012459400847361945,15
30,90,MLP-Wide,1244183,0.0012482672433704238,0.0010049693896876776,0.0012855980461079118,15
30,90,MLP-Residual,445975,0.0013643040538398189,0.00102368151103821,0.0015218578450257791,15
90,1,Buy & Hold,0,0.01179104385672023,0.009300749320992755,0.012361350911981617,0
90,1,MLP-Shallow,268055,0.011645254812586362,0.009472637354273124,0.013004997945379949,15
90,1,MLP-Medium,566039,0.011628304995071262,0.009239575704723791,0.012307959708172963,15
90,1,MLP-Deep,1234327,0.011673848340292012,0.009241793838609616,0.012296310642249585,15
90,1,MLP-Dropout,631831,0.011693061515193866,0.009235667135972415,0.012286588192871407,15
90,1,MLP-BatchNorm,634391,0.014643274407374517,0.012455970608809272,0.015222769301466212,15
90,1,MLP-Wide,2657303,0.011534575439320622,0.009249857117310738,0.012327787198054434,15
90,1,MLP-Residual,799255,0.011668284079928867,0.0092902042954135,0.012502689529275246,15
90,5,Buy & Hold,0,0.005554034527129077,0.004479265704465003,0.005806216267566316,0
90,5,MLP-Shallow,268055,0.005663352407154411,0.00458102717869523,0.00642950363100645,15
90,5,MLP-Medium,566039,0.0053798197520987445,0.004323907908859845,0.00563254606107368,15
90,5,MLP-Deep,1234327,0.005394238578207303,0.004321426119965767,0.005613438399435414,15
90,5,MLP-Dropout,631831,0.005405113406253436,0.004326730741676357,0.00561947495143229,15
90,5,MLP-BatchNorm,634391,0.021178548790922,0.020650754819037356,0.02179750845496683,15
90,5,MLP-Wide,2657303,0.005346952323000271,0.0043404675540686,0.005647659785303633,15
90,5,MLP-Residual,799255,0.005475618584999107,0.0043464407331085305,0.005884912931356932,15
90,30,Buy & Hold,0,0.0025065668132238208,0.0020893913198731665,0.0027563717475391036,0
90,30,MLP-Shallow,268055,0.002724007543525392,0.0020825251686710745,0.0034109826389884567,15
90,30,MLP-Medium,566039,0.0021699318108884982,0.0018101352703288817,0.002359573065953743,15
90,30,MLP-Deep,1234327,0.0021656838915120116,0.0018020403120981997,0.0023303174605501594,15
